x,y
1454,514
1440,514
1419,512
1389,511
1353,507
1311,505
1263,501
1212,499
1157,494
1100,491
1041,485
983,480
925,476
870,471
818,468
770,464
728,460
691,456
661,453
638,450
623,448
616,446
617,445
627,444
645,443
671,443
704,445
743,447
788,449
837,452
891,455
947,459
1005,463
1063,467
1122,473
1178,478
1232,483
1282,487
1327,491
1367,499
1401,503
1427,507
1446,509
1456,513
1458,514
1452,515
1438,514
1415,513
1386,510
1349,506
1306,503
1259,501
1207,497
1152,493
1094,489
1036,484
977,479
920,475
866,470
814,466
766,461
724,458
688,454
659,450
637,448
622,447
616,444
618,443
629,443
648,442
674,443
708,444
747,446
792,448
842,452
896,455
952,459
1010,462
1069,468
1127,473
1183,478
1236,483
1286,487
1331,493
1370,499
1403,504
1428,507
1446,510
1456,512
1458,514
1451,514
1435,514
1413,513
1382,510
1345,507
1302,505
1254,501
1202,498
1146,495
1089,490
1031,485
973,481
915,477
861,472
810,468
763,464
722,460
686,456
658,452
636,449
623,447
617,445
620,444
632,443
652,443
678,444
712,446
752,448
798,451
848,454
901,457
958,461
1016,465
1074,470
1132,475
1188,480
1241,485
1290,489
1334,492
1373,499
1405,504
1430,507
1446,510
1456,513
1456,514
1449,515
1433,514
1410,511
1379,510
1341,508
1298,505
1249,501
1197,498
1141,495
1084,490
1026,485
968,480
911,476
857,471
806,467
760,463
719,459
684,455
656,452
635,449
622,446
618,444
622,443
634,443
654,443
682,444
716,446
757,448
802,451
853,454
907,457
963,460
1021,464
1080,469
1137,474
1193,479
1245,484
1294,489
1338,492
1375,500
1407,504
1431,507
1447,511
1455,513
1455,515
1447,515
1430,514
1406,513
1375,510
1336,508
1292,505
1244,501
1191,498
1136,495
1078,490
1020,486
962,480
906,476
852,471
802,468
756,463
716,458
682,455
654,451
634,449
622,446
618,443
623,442
636,442
657,442
685,442
720,444
761,447
807,448
858,452
912,455
969,460
1027,464
1085,469
1142,474
1197,479
1249,484
1298,488
1341,494
1378,499
1409,504
1432,508
1448,511
1455,515
1454,516
1445,516
1428,515
1403,514
1371,512
1332,510
1288,505
1239,502
1186,499
1131,495
1073,490
1015,486
957,481
901,477
848,472
798,468
753,464
713,459
680,455
653,452
634,448
623,446
619,444
625,443
639,442
660,442
688,443
724,445
765,447
812,450
863,453
917,456
974,460
1032,465
1090,470
1147,475
1202,479
1254,485
1302,490
1344,494
1381,500
1411,505
1433,509
1448,512
1455,514
1453,516
1443,516
1425,516
1400,514
1367,510
1328,508
1283,505
1234,503
1181,499
1125,495
1068,491
1010,485
952,481
896,476
843,471
794,467
749,462
710,457
678,454
652,450
633,447
622,445
620,443
626,442
641,441
663,441
692,442
728,444
770,447
817,449
868,452
922,455
979,459
1037,464
1095,469
1152,474
1207,479
1258,484
1305,489
1347,496
1383,500
1412,505
1434,509
1448,513
1454,515
1452,515
1441,517
1423,515
1396,514
1363,513
1323,510
1278,506
1228,503
1176,499
1120,495
1063,491
1005,485
947,481
891,475
839,471
790,467
746,463
708,458
676,454
650,451
633,447
623,445
621,443
628,441
643,441
666,441
696,442
732,444
774,446
822,449
873,452
928,455
985,459
1042,464
1100,469
1156,475
1211,479
1262,485
1308,491
1350,496
1385,501
1414,506
1435,510
1448,514
1453,515
1450,516
1439,517
1420,516
1393,514
1359,513
1319,509
1274,505
1223,503
1170,500
1114,495
1057,491
999,485
942,480
887,476
835,471
787,466
743,462
705,457
673,453
649,449
632,446
622,443
622,442
630,441
646,440
669,441
699,442
736,444
779,447
827,449
878,452
933,456
990,461
1048,465
1105,470
1161,475
1215,480
1266,486
1312,490
1353,496
1387,502
1415,506
1436,511
1448,514
1452,516
1448,518
1437,518
1417,517
1390,515
1356,512
1315,510
1269,507
1219,504
1165,500
1109,495
1052,490
994,484
937,479
882,474
830,468
782,464
740,459
702,455
671,451
648,447
631,446
623,443
623,441
632,440
648,439
672,440
703,440
741,443
784,445
833,448
884,451
939,455
996,460
1054,465
1111,470
1167,475
1221,481
1271,486
1317,490
1357,497
1391,502
1418,507
1437,511
1449,514
1453,517
1448,518
1435,518
1415,517
1387,516
1352,514
1311,511
1265,507
1215,503
1161,500
1105,496
1048,491
990,485
933,481
878,476
826,472
779,466
737,463
699,457
669,453
646,450
630,447
623,444
624,442
634,441
650,441
675,441
707,442
745,444
789,447
837,450
890,452
947,456
1004,457
1063,461
1119,465
1176,470
1229,477
1277,483
1322,488
1361,496
1393,504
1419,509
1437,514
1448,517
1451,519
1446,520
1432,521
1411,520
1383,518
1349,514
1307,511
1261,508
1211,504
1157,498
1101,494
1043,491
985,486
928,483
874,477
823,473
775,468
733,463
697,458
668,453
645,449
631,446
624,443
626,441
636,440
655,440
680,440
712,441
750,443
795,446
844,449
897,452
952,455
1008,460
1066,466
1123,472
1178,478
1230,483
1279,489
1323,495
1362,500
1394,505
1419,510
1437,514
1447,517
1449,519
1443,521
1428,521
1406,521
1377,519
1342,518
1301,515
1254,511
1203,507
1149,504
1093,499
1036,493
979,487
922,482
868,477
818,471
772,467
730,461
695,456
666,452
645,448
631,445
625,442
628,440
638,439
657,439
683,439
715,440
754,442
798,445
847,448
900,452
956,456
1013,462
1070,466
1127,473
1182,479
1233,484
1282,490
1325,496
1363,501
1395,506
1420,511
1437,515
1446,518
1448,520
1441,522
1426,522
1403,522
1374,520
1338,518
1296,515
1249,512
1198,508
1144,504
1088,498
1031,493
974,488
918,482
864,477
814,471
768,466
728,461
693,456
665,451
644,447
631,444
626,441
629,439
640,438
660,438
686,438
719,440
759,442
803,445
853,448
906,452
961,457
1018,461
1075,467
1132,473
1186,479
1238,485
1286,491
1328,496
1366,502
1397,507
1421,512
1437,516
1446,519
1447,521
1439,522
1423,523
1401,522
1371,521
1334,518
1291,515
1245,511
1194,508
1139,503
1083,498
1026,493
969,487
913,482
860,476
810,471
765,465
725,460
691,455
664,450
643,446
631,443
627,440
630,439
643,438
662,437
689,438
723,439
763,441
808,444
857,447
911,451
967,456
1024,461
1081,466
1137,472
1191,479
1242,485
1290,491
1331,497
1368,502
1399,507
1422,512
1438,516
1445,519
1445,522
1437,523
1421,523
